Match,Team1,Team2,Unhooks,"Samples (2,1,0)",Claim depot,Parking1,Minerals in Depot,Minerals in Lander,Parking2,Disconnects1?,Disconnects2?,Auto Score,Teleop Score,Endgame Score,,Calculations,Auto1,Teleop1,Endgame1,Total1,Auto2,Teleop2,Endgame2,Total2,Competition,Color
26,417,14246,X,1,,X,,5,H,,1,65,34,65,,Team 1 score:,65,25,50,140,0,9,15,24,Interleagues,Blue
27,9884,15203,X,1,,X,0,0,,,,65,4,50,,Team 1 score:,65,0,0,65,0,4,50,54,Interleagues,Red
27,14760,11664,X,,,,6,,P,,,70,12,40,,Team 1 score:,30,12,15,57,40,0,25,65,Interleagues,Blue
28,12583,13211,X,1,X,X,0,3,P,,,160,29,30,,Team 1 score:,80,15,15,110,80,14,15,109,Interleagues,Red
28,6188,14433,,,,,2,,H,,,65,41,100,,Team 1 score:,0,4,50,54,65,37,50,152,Interleagues,Blue
29,8103,12069,X,2,X,X,0,17,H,,,105,89,75,,Team 1 score:,105,85,50,240,0,4,25,29,Interleagues,Red
29,14724,13354,X,1,X,X?,2,2,H,,,145,14,65,,Team 1 score:,80,14,50,144,65,0,15,80,Interleagues,Blue
30,9884,12557,X,0,,,,,,2,1,80,2,15,,Team 1 score:,30,0,0,30,50,2,15,67,Interleagues,Red
30,13502,11104,X,1,,,,2,H,,,85,20,100,,Team 1 score:,0,20,50,70,0,10,50,60,Interleagues,Blue
31,12598,417,,0,,,4,0,H,,,40,16,100,,Team 1 score:,0,8,50,58,40,8,50,98,Interleagues,Red
31,7977,15203,X,,,,3,,H,1,,70,6,100,,Team 1 score:,30,6,50,86,40,0,50,90,Interleagues,Blue
32,14246,6163,X,,,,2,0,,,,40,10,0,,Team 1 score:,30,4,0,34,10,6,0,16,Interleagues,Red
32,11138,11664,X,1,X,X,,11,H,,,80,71,50,,Team 1 score:,80,55,50,185,0,16,0,16,Interleagues,Blue
33,14760,15228,X,0,,X,4,,F,,,40,8,25,,Team 1 score:,40,8,0,48,0,0,25,25,Interleagues,Red
33,8923,10285,X,1,X,X,,13,H,,,145,30,100,,Team 1 score:,80,65,50,195,65,-35,50,80,Interleagues,Blue
34,10424,15203,X,0,,,3,0,,,,40,10,65,,Team 1 score:,30,6,0,36,10,4,65,79,Interleagues,Red
34,6220,7330,X,0,X,X,,6,H,,1,110,30,100,,Team 1 score:,55,30,50,135,55,0,50,105,Interleagues,Blue
